recipe_id,title,occurrences,distinct_days,minimum_gap_days,median_gap_days
base:recipe:kefir-piccolo,Kefir piccolo,12,12,10,10
base:recipe:frutta-e-nocciole,Frutta e nocciole,11,11,8,10.0
base:recipe:frutta-e-mandorle,Frutta e mandorle,10,10,8,14
base:recipe:frutta-in-porzione-piccola,Frutta in porzione piccola,10,10,9,10
base:recipe:latte-e-frutta,Latte e frutta,10,10,8,11
base:recipe:kefir-e-frutta,Kefir e frutta,9,9,8,11.5
base:recipe:v6c2-avocado-al-naturale,Avocado al naturale,8,8,10,24
base:recipe:v6c-brunch-completo-con-polenta-manzo-e-broccoli,"Brunch completo con polenta, manzo e broccoli",8,8,10,15
base:recipe:kefir-con-fette-classiche-e-confettura,Kefir con fette classiche e confettura,8,8,10,11
base:recipe:latte-e-gallette-di-riso,Latte e gallette di riso,8,8,8,15
base:recipe:latte-corn-flakes-e-frutta,"Latte, corn flakes e frutta",8,8,8,22
base:recipe:v6-yogurt-con-avena-e-pera,Yogurt con avena e pera,8,8,8,17
base:recipe:v6-couscous-con-gamberi-e-broccoli,Couscous con gamberi e broccoli,7,7,9,23.0
base:recipe:crackers-classici-con-hummus-delicato,Crackers classici con hummus delicato,7,7,8,10.0
base:recipe:v6c2-grana-e-fette-biscottate,Grana e fette biscottate,7,7,14,21.0
base:recipe:mini-panino-bianco-con-bresaola,Mini panino bianco con bresaola,7,7,8,17.0
base:recipe:mini-panino-con-tacchino-a-fette,Mini panino con tacchino a fette,7,7,8,20.0
base:recipe:v6-pane-integrale-burro-di-arachidi-e-banana,"Pane integrale, burro di arachidi e banana",7,7,10,13.5
base:recipe:v6-pasta-e-lenticchie-con-carote,Pasta e lenticchie con carote,7,7,10,25.0
base:recipe:semolino-al-latte-con-frutta,Semolino al latte con frutta,7,7,8,16.0
base:recipe:uova-strapazzate-pane-bianco-e-frutta,"Uova strapazzate, pane bianco e frutta",7,7,9,23.5
base:recipe:v6c2-avocado-e-crackers,Avocado e crackers,6,6,11,14
base:recipe:v6c1-crackers-con-borlotti,Crackers con borlotti,6,6,8,13
base:recipe:v6c1-crackers-con-crema-semplice-di-cannellini,Crackers con crema semplice di cannellini,6,6,9,12
base:recipe:v6c1-mais-cannellini-e-crackers,"Mais, cannellini e crackers",6,6,8,14
base:recipe:v6-mini-panino-con-tacchino-e-spinaci,Mini panino con tacchino e spinaci,6,6,14,25
base:recipe:v6c1-patata-dolce-e-semi-di-zucca,Patata dolce e semi di zucca,6,6,8,18
base:recipe:piccola-porzione-di-lupini-e-frutta,Piccola porzione di lupini e frutta,6,6,9,11
base:recipe:porridge-piccolo-con-frutta-cotta,Porridge piccolo con frutta cotta,6,6,15,23
base:recipe:yogurt-bianco-e-banana,Yogurt bianco e banana,6,6,10,17
base:recipe:v6c2-avocado-con-tortilla-intera-piccola,Avocado con tortilla intera piccola,5,5,10,26.0
base:recipe:banana-e-latte,Banana e latte,5,5,9,17.5
base:recipe:budino-di-riso-casalingo-e-frutta,Budino di riso casalingo e frutta,5,5,11,32.0
base:recipe:v6c1-crackers-con-sardine,Crackers con sardine,5,5,12,35.0
base:recipe:v6-farro-con-tonno-e-radicchio,Farro con tonno e radicchio,5,5,9,15.5
base:recipe:v6c1-gnocchi-con-merluzzo-e-cavolo-cappuccio,Gnocchi con merluzzo e cavolo cappuccio,5,5,8,9.0
base:recipe:v6c2-grana-e-gallette-di-riso,Grana e gallette di riso,5,5,14,28.0
base:recipe:kefir-e-fette-classiche,Kefir e fette classiche,5,5,9,12.5
base:recipe:v6c1-mandarini-e-pistacchi,Mandarini e pistacchi,5,5,11,16.0
base:recipe:v6-mini-panino-con-bresaola-e-carote,Mini panino con bresaola e carote,5,5,11,24.0
base:recipe:v6c1-mini-tortilla-con-lupini-e-indivia,Mini tortilla con lupini e indivia,5,5,10,19.0
base:recipe:v6c1-mini-tortilla-con-tonno-e-indivia,Mini tortilla con tonno e indivia,5,5,12,20.5
base:recipe:v6c1-pane-di-segale-tonno-e-patata-dolce,"Pane di segale, tonno e patata dolce",5,5,10,16.5
base:recipe:v6-pasta-e-ceci-con-broccoli,Pasta e ceci con broccoli,5,5,10,17.5
base:recipe:v6-pasta-e-ceci-con-finocchi,Pasta e ceci con finocchi,5,5,18,24.5
base:recipe:v6-polenta-con-merluzzo-e-cavolo-nero,Polenta con merluzzo e cavolo nero,5,5,11,22.5
base:recipe:pollo-con-patate-e-spinaci,Pollo con patate e spinaci,5,5,10,24.0
base:recipe:v6-riso-basmati-con-ceci-e-carote,Riso basmati con ceci e carote,5,5,14,35.0
base:recipe:sogliola-con-riso-e-lattuga,Sogliola con riso e lattuga,5,5,17,35.0
base:recipe:yogurt-bianco-corn-flakes-e-banana,"Yogurt bianco, corn flakes e banana",5,5,16,34.0
base:recipe:v6-yogurt-con-avena-e-mela,Yogurt con avena e mela,5,5,15,24.0
base:recipe:v6c2-avocado-con-crackers-abbondanti,Avocado con crackers abbondanti,4,4,10,14
base:recipe:v6c2-avocado-con-mais-abbondante,Avocado con mais abbondante,4,4,14,56
base:recipe:v6c2-avocado-e-crackers-croccanti,Avocado e crackers croccanti,4,4,42,46
base:recipe:v6c-brunch-completo-con-farro-manzo-e-radicchio,"Brunch completo con farro, manzo e radicchio",4,4,15,20
base:recipe:v6c-brunch-completo-con-pane-integrale-salmone-e-radicchio,"Brunch completo con pane integrale, salmone e radicchio",4,4,12,13
base:recipe:v6c-brunch-completo-con-patate-manzo-e-cavolfiore,"Brunch completo con patate, manzo e cavolfiore",4,4,10,20
base:recipe:v6c1-brunch-con-gnocchi-maiale-e-cavoletti,"Brunch con gnocchi, maiale e cavoletti",4,4,10,15
base:recipe:v6c1-castagne-in-porzione-piccola,Castagne in porzione piccola,4,4,9,13
base:recipe:coniglio-con-riso-basmati-e-finocchi,Coniglio con riso basmati e finocchi,4,4,14,14
base:recipe:v6c1-crackers-con-lupini,Crackers con lupini,4,4,10,11
base:recipe:v6c2-feta-semplice,Feta semplice,4,4,42,42
base:recipe:filetto-di-maiale-con-patate-e-spinaci,Filetto di maiale con patate e spinaci,4,4,14,39
base:recipe:filetto-di-maiale-con-polenta-e-carote,Filetto di maiale con polenta e carote,4,4,13,19
base:recipe:french-toast-delicato-con-frutta,French toast delicato con frutta,4,4,19,30
base:recipe:v6-gallette-di-riso-con-burro-di-arachidi-e-banana,Gallette di riso con burro di arachidi e banana,4,4,16,28
base:recipe:v6c1-gnocchi-con-maiale-e-cicoria,Gnocchi con maiale e cicoria,4,4,8,14
base:recipe:v6-kefir-con-banana-e-pistacchi,Kefir con banana e pistacchi,4,4,12,15
base:recipe:v6c1-kiwi-e-semi-di-zucca,Kiwi e semi di zucca,4,4,10,11
base:recipe:v6c1-mais-e-tonno-in-coppetta,Mais e tonno in coppetta,4,4,11,12
base:recipe:manzo-magro-con-pane-bianco-e-cavolfiore,Manzo magro con pane bianco e cavolfiore,4,4,28,40
base:recipe:manzo-magro-con-polenta-e-carote,Manzo magro con polenta e carote,4,4,11,14
base:recipe:v6c1-melagrana-e-nocciole,Melagrana e nocciole,4,4,9,15
base:recipe:v6c1-mini-tortilla-con-cannellini-e-radicchio,Mini tortilla con cannellini e radicchio,4,4,9,17
base:recipe:noodles-di-riso-con-pollo-e-finocchi,Noodles di riso con pollo e finocchi,4,4,16,21
base:recipe:orata-con-patate-e-bietole,Orata con patate e bietole,4,4,9,15
base:recipe:pane-bianco-e-uovo-sodo,Pane bianco e uovo sodo,4,4,9,22
base:recipe:v6-pane-di-segale-burro-di-arachidi-e-pera,"Pane di segale, burro di arachidi e pera",4,4,10,51
base:recipe:v6-pane-integrale-con-hummus-e-spinaci,Pane integrale con hummus e spinaci,4,4,8,17
base:recipe:v6-pane-integrale-con-pollo-e-zucca-arrosto,Pane integrale con pollo e zucca arrosto,4,4,15,32
base:recipe:v6-pasta-al-ragu-leggero-di-manzo,Pasta al ragù leggero di manzo,4,4,14,28
base:recipe:v6-pasta-e-lenticchie-con-passata-e-spinaci,Pasta e lenticchie con passata e spinaci,4,4,10,17
base:recipe:v6c1-patata-dolce-e-kefir,Patata dolce e kefir,4,4,9,26
base:recipe:v6-patate-con-salmone-e-finocchi,Patate con salmone e finocchi,4,4,8,18
base:recipe:v6c2-primosale-con-gallette-abbondanti,Primosale con gallette abbondanti,4,4,10,53
base:recipe:v6-riso-basmati-con-piselli-e-zucca,Riso basmati con piselli e zucca,4,4,14,21
base:recipe:v6c2-robiola-semplice,Robiola semplice,4,4,39,42
base:recipe:salmone-nordico-con-patate-e-cavolfiore,Salmone nordico con patate e cavolfiore,4,4,11,24
base:recipe:v6c1-semolino-con-castagne-melagrana-e-semi-di-zucca,"Semolino con castagne, melagrana e semi di zucca",4,4,8,43
base:recipe:uovo-sodo-e-crackers,Uovo sodo e crackers,4,4,11,16
base:recipe:yogurt-bianco-corn-flakes-e-frutta,"Yogurt bianco, corn flakes e frutta",4,4,8,10
base:recipe:v6-yogurt-con-frutti-di-bosco-e-nocciole,Yogurt con frutti di bosco e nocciole,4,4,8,21
base:recipe:v6c1-arancia-e-semi-di-zucca,Arancia e semi di zucca,3,3,9,10.5
base:recipe:v6c2-avocado-con-fette-biscottate-abbondanti,Avocado con fette biscottate abbondanti,3,3,14,31.5
base:recipe:v6c2-avocado-con-pane-abbondante,Avocado con pane abbondante,3,3,35,35.0
base:recipe:v6c2-avocado-con-semi-di-zucca-abbondanti,Avocado con semi di zucca abbondanti,3,3,11,68.5
base:recipe:v6c2-avocado-e-mais,Avocado e mais,3,3,25,45.5
base:recipe:v6c2-avocado-e-semi-di-zucca,Avocado e semi di zucca,3,3,11,61.5
