global_day,month,day_type,energy_kcal,reference_kcal,delta_pct,status
1,Settembre,D1,1592.13,1612.0,-0.0123,OK
2,Settembre,D2,1722.57,1709.0,0.0079,OK
3,Settembre,D3,1466.12,1467.0,-0.0006,OK
4,Settembre,D4,1610.2,1614.0,-0.0024,OK
5,Settembre,D5,1642.11,1626.0,0.0099,OK
6,Settembre,D1,1605.3,1612.0,-0.0042,OK
7,Settembre,D2,1790.57,1709.0,0.0477,OK
8,Settembre,D3,1414.88,1467.0,-0.0355,OK
9,Settembre,D4,1622.66,1614.0,0.0054,OK
10,Settembre,D5,1640.27,1626.0,0.0088,OK
11,Settembre,D1,1601.08,1612.0,-0.0068,OK
12,Settembre,D2,1707.61,1709.0,-0.0008,OK
13,Settembre,D3,1503.73,1467.0,0.025,OK
14,Settembre,D4,1615.72,1614.0,0.0011,OK
15,Settembre,D5,1626.6,1626.0,0.0004,OK
16,Settembre,D1,1612.79,1612.0,0.0005,OK
17,Settembre,D2,1694.57,1709.0,-0.0084,OK
18,Settembre,D3,1485.15,1467.0,0.0124,OK
19,Settembre,D4,1599.93,1614.0,-0.0087,OK
20,Settembre,D5,1627.44,1626.0,0.0009,OK
21,Settembre,D1,1589.75,1612.0,-0.0138,OK
22,Settembre,D2,1711.93,1709.0,0.0017,OK
23,Settembre,D3,1458.76,1467.0,-0.0056,OK
24,Settembre,D4,1559.97,1614.0,-0.0335,OK
25,Settembre,D5,1631.42,1626.0,0.0033,OK
26,Settembre,D1,1613.46,1612.0,0.0009,OK
27,Settembre,D2,1722.57,1709.0,0.0079,OK
28,Settembre,D3,1491.53,1467.0,0.0167,OK
29,Settembre,D4,1620.72,1614.0,0.0042,OK
30,Settembre,D5,1626.17,1626.0,0.0001,OK
31,Ottobre,D1,1634.46,1612.0,0.0139,OK
32,Ottobre,D2,1718.36,1709.0,0.0055,OK
33,Ottobre,D3,1460.28,1467.0,-0.0046,OK
34,Ottobre,D4,1637.24,1614.0,0.0144,OK
35,Ottobre,D5,1616.41,1626.0,-0.0059,OK
36,Ottobre,D1,1641.08,1612.0,0.018,OK
37,Ottobre,D2,1710.67,1709.0,0.001,OK
38,Ottobre,D3,1425.23,1467.0,-0.0285,OK
39,Ottobre,D4,1583.48,1614.0,-0.0189,OK
40,Ottobre,D5,1625.86,1626.0,-0.0001,OK
41,Ottobre,D1,1613.93,1612.0,0.0012,OK
42,Ottobre,D2,1727.11,1709.0,0.0106,OK
43,Ottobre,D3,1440.43,1467.0,-0.0181,OK
44,Ottobre,D4,1611.42,1614.0,-0.0016,OK
45,Ottobre,D5,1657.24,1626.0,0.0192,OK
46,Ottobre,D1,1537.21,1612.0,-0.0464,OK
47,Ottobre,D2,1699.77,1709.0,-0.0054,OK
48,Ottobre,D3,1410.98,1467.0,-0.0382,OK
49,Ottobre,D4,1601.53,1614.0,-0.0077,OK
50,Ottobre,D5,1617.02,1626.0,-0.0055,OK
51,Ottobre,D1,1624.11,1612.0,0.0075,OK
52,Ottobre,D2,1754.88,1709.0,0.0268,OK
53,Ottobre,D3,1497.73,1467.0,0.0209,OK
54,Ottobre,D4,1644.95,1614.0,0.0192,OK
55,Ottobre,D5,1637.72,1626.0,0.0072,OK
56,Ottobre,D1,1638.94,1612.0,0.0167,OK
57,Ottobre,D2,1707.85,1709.0,-0.0007,OK
58,Ottobre,D3,1463.76,1467.0,-0.0022,OK
59,Ottobre,D4,1606.17,1614.0,-0.0049,OK
60,Ottobre,D5,1593.43,1626.0,-0.02,OK
61,Novembre,D1,1613.83,1612.0,0.0011,OK
62,Novembre,D2,1719.13,1709.0,0.0059,OK
63,Novembre,D3,1442.21,1467.0,-0.0169,OK
64,Novembre,D4,1615.06,1614.0,0.0007,OK
65,Novembre,D5,1625.85,1626.0,-0.0001,OK
66,Novembre,D1,1604.14,1612.0,-0.0049,OK
67,Novembre,D2,1705.55,1709.0,-0.002,OK
68,Novembre,D3,1437.93,1467.0,-0.0198,OK
69,Novembre,D4,1587.26,1614.0,-0.0166,OK
70,Novembre,D5,1619.04,1626.0,-0.0043,OK
71,Novembre,D1,1652.39,1612.0,0.0251,OK
72,Novembre,D2,1668.48,1709.0,-0.0237,OK
73,Novembre,D3,1399.38,1467.0,-0.0461,OK
74,Novembre,D4,1622.38,1614.0,0.0052,OK
75,Novembre,D5,1621.86,1626.0,-0.0025,OK
76,Novembre,D1,1620.77,1612.0,0.0054,OK
77,Novembre,D2,1691.34,1709.0,-0.0103,OK
78,Novembre,D3,1463.43,1467.0,-0.0024,OK
79,Novembre,D4,1648.68,1614.0,0.0215,OK
80,Novembre,D5,1582.34,1626.0,-0.0269,OK
81,Novembre,D1,1625.14,1612.0,0.0082,OK
82,Novembre,D2,1706.23,1709.0,-0.0016,OK
83,Novembre,D3,1466.12,1467.0,-0.0006,OK
84,Novembre,D4,1604.59,1614.0,-0.0058,OK
85,Novembre,D5,1625.06,1626.0,-0.0006,OK
86,Novembre,D1,1613.02,1612.0,0.0006,OK
87,Novembre,D2,1706.51,1709.0,-0.0015,OK
88,Novembre,D3,1479.01,1467.0,0.0082,OK
89,Novembre,D4,1602.46,1614.0,-0.0071,OK
90,Novembre,D5,1622.98,1626.0,-0.0019,OK
91,Dicembre,D1,1674.76,1612.0,0.0389,OK
92,Dicembre,D2,1677.93,1709.0,-0.0182,OK
93,Dicembre,D3,1462.56,1467.0,-0.003,OK
94,Dicembre,D4,1642.43,1614.0,0.0176,OK
95,Dicembre,D5,1651.47,1626.0,0.0157,OK
96,Dicembre,D1,1613.89,1612.0,0.0012,OK
97,Dicembre,D2,1711.54,1709.0,0.0015,OK
98,Dicembre,D3,1453.18,1467.0,-0.0094,OK
